generator,sample,N,mean,stdev,cv,share_02113_07887,bins,chi2,chi_result
std_mt19937,5,5000,0.50075359,0.28982720,0.57878207,0.56860000,13,13.98560000,pass
std_mt19937,6,5000,0.49993679,0.28570052,0.57147329,0.58800000,13,14.39120000,pass
std_mt19937,7,5000,0.49708544,0.28751918,0.57840998,0.57340000,13,23.88640000,fail
std_mt19937,8,5000,0.50237168,0.29104252,0.57933704,0.56460000,13,7.83400000,pass
std_mt19937,9,5000,0.49517663,0.28846821,0.58255619,0.57520000,13,8.14600000,pass
std_mt19937,10,5000,0.51059934,0.28948356,0.56694857,0.56900000,13,17.24600000,pass
std_mt19937,11,5000,0.50234277,0.28781318,0.57294183,0.57840000,13,2.43120000,pass
std_mt19937,12,5000,0.50025929,0.29033694,0.58037291,0.57020000,13,10.85000000,pass
std_mt19937,13,5000,0.49800311,0.28716170,0.57662632,0.58340000,13,12.42040000,pass
std_mt19937,14,5000,0.50149167,0.28995243,0.57817995,0.57700000,13,7.84960000,pass
std_mt19937,15,5000,0.50465488,0.28989357,0.57443926,0.57160000,13,9.26920000,pass
std_mt19937,16,5000,0.50083314,0.28966088,0.57835806,0.57580000,13,9.15480000,pass
std_mt19937,17,5000,0.50680237,0.28655599,0.56541961,0.58200000,13,10.91240000,pass
std_mt19937,18,5000,0.50208716,0.28614588,0.56991275,0.58320000,13,14.49520000,pass
std_mt19937,19,5000,0.50115032,0.28657892,0.57184224,0.58400000,13,7.67800000,pass
std_mt19937,20,5000,0.49726045,0.28593858,0.57502780,0.58780000,13,9.73200000,pass
