method,sample,N,mean,stddev,cv,chi_bins,chi2,chi_low,chi_high,chi_pass,tests_passed,total_tests
ModifiedLaggedFibonacciCarry,11,5000,0.50374,0.285438,0.566638,14,14.1896,4.98796,24.7358,1,5,6
ModifiedLaggedFibonacciCarry,12,5000,0.509413,0.288348,0.566039,14,16.0936,4.98796,24.7358,1,4,6
ModifiedLaggedFibonacciCarry,13,5000,0.492812,0.289832,0.588119,14,13.1872,4.98796,24.7358,1,5,6
ModifiedLaggedFibonacciCarry,14,5000,0.49576,0.289135,0.583216,14,8.6456,4.98796,24.7358,1,5,6
ModifiedLaggedFibonacciCarry,15,5000,0.499737,0.287789,0.575882,14,9.7936,4.98796,24.7358,1,5,6
ModifiedLaggedFibonacciCarry,16,5000,0.498172,0.290552,0.583236,14,10.4768,4.98796,24.7358,1,5,6
ModifiedLaggedFibonacciCarry,17,5000,0.495817,0.288822,0.582518,14,14.7496,4.98796,24.7358,1,5,6
ModifiedLaggedFibonacciCarry,18,5000,0.502153,0.288131,0.57379,14,8.3992,4.98796,24.7358,1,5,6
ModifiedLaggedFibonacciCarry,19,5000,0.497598,0.288129,0.579039,14,9.6144,4.98796,24.7358,1,4,6
ModifiedLaggedFibonacciCarry,20,5000,0.498125,0.290512,0.583211,14,15.1528,4.98796,24.7358,1,5,6
